0,3,98
0,15,112
0,26,143
0,79,149
0,98,136
0,99,159
0,86,176
0,82,190
0,69,225
0,54,243
0,30,262
0,78,255
0,100,265
0,123,279
0,194,280
0,203,270
0,214,282
0,226,268
0,239,236
0,370,222
0,261,269
0,266,283
0,395,266
0,260,226
0,306,278
0,279,280
0,253,251
0,342,203
0,298,222
0,260,265
0,253,300
0,364,216
0,377,204
0,372,257
0,305,253
0,314,277
0,372,288
0,376,231
0,409,258
0,336,229
0,400,233
0,349,228
0,310,244
0,369,302
0,334,224
0,394,230
0,255,241
0,372,300
0,341,210
0,355,202
0,288,205
0,361,260
0,267,227
0,363,204
0,406,229
0,260,272
0,270,202
0,382,257
0,386,284
0,333,242
0,243,250
0,332,248
0,284,225
0,364,235
0,248,303
0,295,270
0,305,276
0,313,247
0,350,258
0,365,259
0,249,281
0,337,296
0,384,289
0,245,24
0,244,26
0,247,29
1,382,131
1,361,127
1,412,112
1,335,121
1,318,93
1,351,97
1,342,112
1,404,129
1,337,105
1,318,117
1,347,99
1,273,69
1,258,53
1,264,51
1,271,82
1,279,94
1,262,39
1,289,52
1,259,63
1,277,84
1,275,86
1,285,103
1,279,98
1,394,166
1,392,160
1,372,146
1,408,156
1,408,144
1,415,150
1,407,163
1,34,70
1,25,64
1,34,60
1,33,63
1,185,212
1,182,208
1,354,62
1,338,43
1,291,35
2,139,80
2,133,88
2,154,140
2,370,68
2,373,70
2,332,69
2,312,71
2,319,58
2,326,99
2,371,103
2,390,77
2,366,72
2,337,54
2,215,29
2,231,33
2,224,30
2,241,34
2,232,36
2,168,45
2,169,50
2,268,60
2,303,27
3,82,54
3,197,65
3,136,55
3,185,78
3,73,77
3,217,70
3,184,73
3,67,55
3,126,51
3,212,85
3,118,164
3,180,168
3,196,150
3,122,133
3,123,96
3,182,107
3,200,93
3,123,113
3,227,121
3,157,118
3,162,160
3,190,190
3,143,184
3,137,228
3,140,221
3,171,199
3,183,183
3,184,208
4,180,202
4,161,222
4,172,204
4,152,59
4,168,78
4,134,91
4,82,68
4,164,82
4,198,65
4,68,82
4,152,73
4,72,77
4,222,66
4,87,77
4,62,82
4,90,77
4,126,148
4,131,163
4,136,113
4,205,149
4,172,94
4,229,137
4,212,98
5,173,132
5,167,140
5,170,149
5,150,123
5,155,145
5,163,147
5,150,127
5,142,148
5,142,122
5,155,125
5,160,125
5,156,129
5,139,146
5,17,205
5,8,211
5,98,36
5,188,107
5,214,78
5,217,86
5,212,90
6,350,38
6,353,41
6,343,34
6,222,27
6,229,25
6,304,28
6,145,82
6,183,204
6,10,55
6,217,25
6,329,83
6,371,53
7,149,140
7,160,141
7,148,138
7,161,43
7,154,47
7,167,48
7,403,128
8,32,104
8,40,105
8,48,99
8,44,88
8,51,101
8,30,114
8,47,113
8,38,111
8,27,103
8,28,95
8,24,109
8,31,98
8,40,89
8,25,114
8,54,101
8,38,88
8,36,97
8,55,93
8,37,108
8,33,90
8,27,99
